id,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
45121703,Entire home/apt,3,1,1,1,$103.00 ,90,365,90,243,365,365,94.6,365,,t,25,55,85,360,2020-10-25,0,0,0,,,,,,,,,,,t,350,350,0,0,
45121708,Entire home/apt,5,1,2,2,$143.00 ,90,365,90,243,365,365,94.6,365,,t,25,55,85,360,2020-10-25,0,0,0,,,,,,,,,,,t,350,350,0,0,
45121711,Entire home/apt,3,1,1,1,$116.00 ,90,365,90,243,365,365,94.6,365,,t,25,55,85,360,2020-10-25,0,0,0,,,,,,,,,,,t,350,350,0,0,
45121713,Entire home/apt,3,1,1,1,$104.00 ,90,365,90,243,365,365,94.6,365,,t,25,55,85,360,2020-10-25,0,0,0,,,,,,,,,,,t,350,350,0,0,
45121718,Entire home/apt,3,1,1,1,$126.00 ,90,365,90,243,365,365,94.6,365,,t,25,55,85,360,2020-10-25,0,0,0,,,,,,,,,,,t,350,350,0,0,
45121719,Entire home/apt,5,1,2,2,$160.00 ,90,365,90,243,365,365,94.6,365,,t,25,55,85,360,2020-10-25,0,0,0,,,,,,,,,,,t,350,350,0,0,
45121720,Entire home/apt,1,1,,1,$104.00 ,90,365,90,243,365,365,94.6,365,,t,25,55,85,360,2020-10-25,0,0,0,,,,,,,,,,,t,350,350,0,0,
45121724,Entire home/apt,5,2,2,2,$156.00 ,90,365,90,243,365,365,94.6,365,,t,25,55,85,360,2020-10-25,0,0,0,,,,,,,,,,,t,350,350,0,0,
45121729,Entire home/apt,1,1,,1,$102.00 ,90,365,90,243,365,365,94.6,365,,t,25,55,85,360,2020-10-25,0,0,0,,,,,,,,,,,t,350,350,0,0,
45121731,Entire home/apt,3,1,1,1,$100.00 ,90,365,90,243,365,365,94.6,365,,t,25,55,85,360,2020-10-25,0,0,0,,,,,,,,,,,t,350,350,0,0,
45121732,Entire home/apt,3,1,1,1,$128.00 ,90,365,90,243,365,365,94.6,365,,t,25,55,85,360,2020-10-25,0,0,0,,,,,,,,,,,t,350,350,0,0,
45121736,Entire home/apt,5,2,2,2,$154.00 ,90,365,90,243,365,365,94.6,365,,t,25,55,85,360,2020-10-25,0,0,0,,,,,,,,,,,t,350,350,0,0,
45121739,Entire home/apt,5,1,2,2,$151.00 ,90,365,90,243,365,365,94.9,365,,t,25,55,85,360,2020-10-25,0,0,0,,,,,,,,,,,t,350,350,0,0,
45121741,Entire home/apt,5,1,2,2,$144.00 ,90,365,90,243,365,365,94.6,365,,t,25,55,85,360,2020-10-25,0,0,0,,,,,,,,,,,t,350,350,0,0,
45121742,Entire home/apt,3,1,1,1,$112.00 ,90,365,90,243,365,365,94.6,365,,t,25,55,85,360,2020-10-25,0,0,0,,,,,,,,,,,t,350,350,0,0,
45121743,Entire home/apt,3,1,1,1,$115.00 ,90,365,90,243,365,365,94.6,365,,t,25,55,85,360,2020-10-25,0,0,0,,,,,,,,,,,t,350,350,0,0,
45121746,Entire home/apt,1,1,,1,$100.00 ,90,365,90,243,365,365,94.9,365,,t,25,55,85,360,2020-10-25,0,0,0,,,,,,,,,,,t,350,350,0,0,
45121747,Entire home/apt,3,1,1,1,$109.00 ,90,365,90,243,365,365,94.9,365,,t,21,51,81,356,2020-10-25,0,0,0,,,,,,,,,,,t,350,350,0,0,
45121749,Entire home/apt,3,1,1,1,$112.00 ,90,365,90,243,365,365,94.6,365,,t,25,55,85,360,2020-10-25,0,0,0,,,,,,,,,,,t,350,350,0,0,
45121750,Entire home/apt,3,1,1,1,$116.00 ,90,365,90,243,365,365,94.6,365,,t,25,55,85,360,2020-10-25,0,0,0,,,,,,,,,,,t,350,350,0,0,
45121752,Entire home/apt,3,1,1,1,$105.00 ,90,365,90,243,365,365,96,365,,t,1,31,61,336,2020-10-25,0,0,0,,,,,,,,,,,t,350,350,0,0,
45122789,Entire home/apt,1,1,,1,$91.00 ,30,365,30,30,365,365,30,365,,t,25,55,85,360,2020-10-25,0,0,0,,,,,,,,,,,t,350,350,0,0,
45122791,Entire home/apt,1,1,,1,$92.00 ,30,365,30,30,365,365,30,365,,t,25,55,85,360,2020-10-25,0,0,0,,,,,,,,,,,t,350,350,0,0,
45123368,Entire home/apt,3,1,1,1,$108.00 ,30,365,30,30,365,365,30,365,,t,25,55,85,360,2020-10-25,0,0,0,,,,,,,,,,,t,350,350,0,0,
